name,year,price,views
BMW 5 серия,1992.0,140500.0,6281.0
Chevrolet Lacetti,2009.0,276666.0,1723.0
Chevrolet Niva,2009.1,253750.0,1696.0
Daewoo Nexia,2006.0,67363.0,2505.0
Ford Focus,2013.0,475300.0,2422.0
Ford Mondeo,2005.0,227363.0,5344.0
Ford Transit,2009.0,514090.0,3550.0
Honda CR-V,1997.0,232765.0,3069.0
Hyundai Elantra,2014.0,633375.0,3380.0
Hyundai Getz,2008.0,268555.0,2305.0
Hyundai Solaris,2012.65,435650.0,1216.0
Hyundai Sonata,2009.1052631578948,631783.0,4478.0
Hyundai ix35,2011.0,712300.0,3862.0
Infiniti I30,1998.0,163250.0,13304.0
KIA Rio,2001.0,111111.0,4166.0
LADA Kalina,2009.8333333333333,161785.0,1339.0
LADA Priora,2010.4259259259259,181720.0,1812.0
LADA Vesta,2018.0,567000.0,2925.0
Mercedes-Benz C-класс,2010.0,637128.0,4775.0
Mitsubishi Outlander,2012.0,821444.0,3457.0
Nissan Qashqai,2016.0,1079285.0,1133.0
Nissan Terrano,2017.0,812800.0,3212.0
Opel Corsa,2009.0,277833.0,993.0
Peugeot 308,2010.0,320700.0,1545.0
Peugeot Partner,2014.0,554750.0,1633.0
Renault Duster,2015.0,625111.0,1846.0
Renault Fluence,2010.0,390600.0,1689.0
Renault Megane,2010.0,375285.0,1332.0
Toyota Auris,2007.0,376100.0,1218.0
Toyota Camry,2008.0,573000.0,7642.0
Toyota Land Cruiser Prado,2004.0,950777.0,10311.0
Volkswagen Passat CC,2010.0,598454.0,4140.0
Volvo S40,2006.0,320300.0,5471.0
ВАЗ 2106,1999.0,42817.0,2284.0
ВАЗ 2110,2005.0,94727.0,1329.0
ВАЗ 2112,2003.0,78700.0,1844.0
ВАЗ 2114 Samara,2007.9302325581396,101639.0,1392.0
ВАЗ 2115 Samara,2005.0,72681.0,1290.0
ГАЗ 31105 Волга,2007.0,106727.0,1825.0
ГАЗ ГАЗель 3302,2009.5714285714287,351476.0,2393.0
ГАЗ ГАЗель Next,2019.0,1368750.0,1017.0
